question,target_name,predicted_option,evidence_span,image_path
فرنوش شیخی در کدام رشته ورزشی فعالیت دارد؟,فرنوش شیخی,والیبال,فرنوش شیخی، ورزشکار والیبال، در تاریخ ۲۳ اردیبهشت ۱۳۶۹۱۳ مهٔ ۱۹۹۰ (۳۴ سال) در ایران متولد شده است,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\1802_فرنوش_شیخی_image.jpg
سارا شیربیگی ورزشکار کدام رشته است؟,سارا شیربیگی,فوتسال,سارا شیربیگی، ورزشکار فوتسال، در تاریخ ۱۵ مرداد ۱۳۷۰ در فوتسال زنان ایران متولد شده است، در تیم‌های سپیدرود رشت و نصرفردیس بازی کرده است.,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\1083_سارا_شیربیگی_image.jpg
هاجر صفرزاده در کدام رقابت مدال گرفته است؟,هاجر صفرزاده,پارالمپیک پاریس ۲۰۲۴,مدال نقره بازی‌های پارالمپیک پاریس ۲۰۲۴,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\2750_هاجر_صفرزاده_image.jpg
مهدی تیکدری سالاری در کدام رشته فعال است؟,مهدی تیکدری,فوتبال,مهدی تیکدری، ورزشکار فوتبال، در تاریخ ۲۳ تیر ۱۳۷۵ (۲۸ سال) در کرمان،ایران متولد شده است,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\2461_مهدی_تیکدری_image.jpg
شجاع خلیل‌زاده در کدام تیم‌ها بازی کرده است؟,شجاع خلیل‌زاده,پرسپولیس و الریان,شجاع خلیل‌زاده... در تیم‌های مس رفسنجان، مس کرمان، سپاهان، ←تراکتور(قرضی)، پرسپولیس، الریان، الاهلی قطر و تراکتور بازی کرده است.,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\1345_شجاع_خلیلزاده_image.jpg
مهدی خدابخشی در چه رشته‌ای فعالیت دارد؟,مهدی خدابخشی,رزمی,مهدی خدابخشی، ورزشکار رزمی، در تاریخ ۱۰ اردیبهشت ۱۳۷۴ در اسلام آباد غرب متولد شده است,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\2470_مهدی_خدابخشی_image.jpg
علی دایی در کدام تیم‌های اروپایی بازی کرده است؟,علی دایی,بایرن مونیخ و هرتابرلین,در تیم‌های استقلال اردبیل، تاکسیرانی، بانک تجارت، پرسپولیس، السد، آرمینیا بیله‌فلد، بایرن مونیخ، هرتابرلین، الشباب، پرسپولیس، صباباتری و سایپا بازی کرده است.,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\1535_علی_دایی_image.jpg
عباس زندی در کدام رشته ورزشی مدال‌های متعددی کسب کرده است؟,عباس زندی,کشتی,عباس زندی، متولد ۱۳۱۰ در سنگلج، تهران، ایران، ورزشکار کشتی آزاد و پهلوانی,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\1446_عباس_زندی__value.jpg
عزت‌الله اکبری در چه سالی متولد شده است؟,عزت‌الله اکبری,۱۳۷۱,عزت‌الله اکبری، متولد ۲۰ آبان ۱۳۷۱ در جویبار، مازندران، ایران,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\1482_عزتالله_اکبری__value.jpg
قد میربابک موسوی، ورزشکار والیبال چند است؟,میربابک موسوی,۱٫۹۴,قد ایشان ۱٫۹۴ m (۶ ft۴۱⁄۲in) است,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\2610_میربابک_موسوی_image.jpg
کریم انصاری‌فرد در کدام کشور متولد شده است؟,کریم انصاری‌فرد,ایران,کریم انصاری‌فرد، ورزشکار فوتبال، در تاریخ ۱۴ فروردین ۱۳۶۹ (۳۵ سال) در اردبیل،ایران متولد شده است,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\2990_کریم_انصاریفرد_image.jpg
